"Municipality","Age","2011 Natives Males","2011 Natives Females","2011 Immigrants Males","2011 Immigrants Females","2021 Natives Males","2021 Natives Females","2021 Immigrants Males","2021 Immigrants Females"
"Gardabaer","65 years",1,1,..,..,2,2,..,1
"Gardabaer","66 years",2,..,..,..,2,1,..,..
"Gardabaer","67 years",2,3,..,..,1,2,..,..
"Gardabaer","68 years",..,3,..,..,2,2,..,..
"Gardabaer","69 years",..,2,..,..,3,..,..,..
"Gardabaer","70 years",1,1,..,..,3,..,..,..
"Gardabaer","71 years",..,1,..,..,1,2,..,..
"Gardabaer","72 years",..,..,..,..,3,2,1,..
"Gardabaer","73 years",..,1,..,..,..,1,..,..
"Gardabaer","74 years",1,..,..,..,..,1,..,..
"Gardabaer","75 years",3,..,..,..,2,1,..,..
"Gardabaer","76 years",1,..,..,..,1,1,..,..
"Gardabaer","77 years",1,..,..,..,..,2,..,..
"Gardabaer","78 years",1,..,..,..,1,2,..,..
"Gardabaer","79 years",..,..,..,..,1,..,..,..
"Gardabaer","80 years",..,..,..,..,1,1,..,..
"Gardabaer","81 years",..,..,..,..,..,..,..,..
"Gardabaer","82 years",..,..,..,..,..,1,..,..
"Gardabaer","83 years",..,..,..,..,..,..,..,..
"Gardabaer","84 years",..,..,..,..,1,..,..,..
"Gardabaer","85 years",..,..,..,..,1,..,..,..
"Gardabaer","86 years",..,..,..,..,..,..,..,..
"Gardabaer","87 years",..,..,..,..,..,..,..,..
"Gardabaer","88 years",..,..,..,..,..,..,..,..
"Gardabaer","89 years",..,..,..,..,..,..,..,..
"Gardabaer","90 years",..,..,..,..,..,..,..,..
"Gardabaer","91 years",..,..,..,..,..,..,..,..
"Gardabaer","92 years",..,..,..,..,..,..,..,..
"Gardabaer","93 years",..,..,..,..,..,..,..,..
"Gardabaer","94 years",..,..,..,..,..,..,..,..
"Gardabaer","95 years",..,..,..,..,..,..,..,..
"Gardabaer","96 years",..,..,..,..,..,..,..,..
"Gardabaer","97 years",..,..,..,..,..,..,..,..
"Gardabaer","98 years",..,..,..,..,..,..,..,..
"Gardabaer","99 years",..,..,..,..,..,..,..,..
"Gardabaer","100 years",..,..,..,..,..,..,..,..
"Gardabaer","101 years",..,..,..,..,..,..,..,..
"Gardabaer","102 years",..,..,..,..,..,..,..,..
"Gardabaer","103 years",..,..,..,..,..,..,..,..
"Gardabaer","104 years",..,..,..,..,..,..,..,..
"Gardabaer","105 years",..,..,..,..,..,..,..,..
